code,name,lot_number
MCF3.1.1,Business case development,MCF3.1
MCF3.1.2,Business consultancy,MCF3.1
MCF3.1.3,Business continuity and/or disaster recovery planning,MCF3.1
MCF3.1.4,Business policy strategy and/or appraisal,MCF3.1
MCF3.1.5,Business processes,MCF3.1
MCF3.1.6,Change management,MCF3.1
MCF3.1.7,Development and/or review of policy,MCF3.1
MCF3.1.8,"Digital, technology and cyber",MCF3.1
MCF3.1.9,Forecasting and/or planning,MCF3.1
MCF3.1.10,Operational planning and/or improvement,MCF3.1
MCF3.1.11,Organisational review,MCF3.1
MCF3.1.12,Programme & project management,MCF3.1
MCF3.1.13,"Risk, compliance and/or opportunity management",MCF3.1
MCF3.1.14,Value for money reviews.,MCF3.1
MCF3.2.1,Business structure,MCF3.2
MCF3.2.2,Business case development,MCF3.2
MCF3.2.3,Business process re-engineering,MCF3.2
MCF3.2.4,Change management,MCF3.2
MCF3.2.5,"Digital, technology and cyber",MCF3.2
MCF3.2.6,Policy,MCF3.2
MCF3.2.7,Regulatory advice,MCF3.2
MCF3.2.8,Social value,MCF3.2
MCF3.2.9,Strategic advice,MCF3.2
MCF3.3.1,Business,MCF3.3
MCF3.3.2,Change management,MCF3.3
MCF3.3.3,Complex programmes,MCF3.3
MCF3.3.4,"Digital, technology and cyber",MCF3.3
MCF3.3.5,Finance,MCF3.3
MCF3.3.6,HR,MCF3.3
MCF3.3.7,Organisation and operating model,MCF3.3
MCF3.3.8,Performance transformation,MCF3.3
MCF3.3.9,Procurement and/or supply chain,MCF3.3
MCF3.3.10,Project and programme management,MCF3.3
MCF3.3.11,Strategy and/or policy,MCF3.3
MCF3.3.12,Supplier side services and delivery,MCF3.3
MCF3.3.13,Transformation management.,MCF3.3
MCF3.4.1,Actuarial services,MCF3.4
MCF3.4.2,"Asset management including valuation, sales and disposals",MCF3.4
MCF3.4.3,Business analysis,MCF3.4
MCF3.4.4,"Capital fundraising, derivatives and hedging",MCF3.4
MCF3.4.5,Cash management,MCF3.4
MCF3.4.6,Corporate restructuring and flotation,MCF3.4
MCF3.4.7,"Cost benefit reviews, studies, analysis and evaluation",MCF3.4
MCF3.4.8,"Debt restructuring, management and insolvency",MCF3.4
MCF3.4.9,Developing and assessing project proposals,MCF3.4
MCF3.4.10,Financial due diligence,MCF3.4
MCF3.4.11,Economic analysis,MCF3.4
MCF3.4.12,Financial accounting and/or reporting,MCF3.4
MCF3.4.13,Financial performance review and viability studies,MCF3.4
MCF3.4.14,Financing public infrastructure projects and negotiations,MCF3.4
MCF3.4.15,Forecasting and budgeting,MCF3.4
MCF3.4.16,Foreign exchange,MCF3.4
MCF3.4.17,"Investment, financial advice and market services",MCF3.4
MCF3.4.18,"Mergers, acquisitions and divestment",MCF3.4
MCF3.4.19,Payment structure advice and risk,MCF3.4
MCF3.4.20,Pensions services,MCF3.4
MCF3.4.21,Policy impact assessments,MCF3.4
MCF3.4.22,Regulation and statutory requirements and/or reporting,MCF3.4
MCF3.4.23,Risk management,MCF3.4
MCF3.4.24,Tax including value added tax (VAT),MCF3.4
MCF3.5.1,Capability development,MCF3.5
MCF3.5.2,Cultural transformation,MCF3.5
MCF3.5.3,Dispute management,MCF3.5
MCF3.5.4,Diversity and inclusion,MCF3.5
MCF3.5.5,Employee relations,MCF3.5
MCF3.5.6,"HR functions, process and design",MCF3.5
MCF3.5.7,HR policy,MCF3.5
MCF3.5.8,Organisational design and/or workforce planning,MCF3.5
MCF3.5.9,Performance management,MCF3.5
MCF3.5.10,Training and development,MCF3.5
MCF3.6.1,Category management,MCF3.6
MCF3.6.2,Commercial review,MCF3.6
MCF3.6.3,Contract management,MCF3.6
MCF3.6.4,Cost reduction,MCF3.6
MCF3.6.5,Digitalisation,MCF3.6
MCF3.6.6,Financial advice,MCF3.6
